"ion";0,952
"ent";0,723
"ait";0,706
"tio";0,663
"ing";0,493
"ate";0,445
"con";0,428
"est";0,391
"ons";0,389
"que";0,372
"les";0,369
"tra";0,362
"ati";0,358
"des";0,353
"ant";0,351
"ien";0,336
"hub";0,335
"vai";0,334
"ess";0,324
"lle";0,32
"ext";0,318
"ame";0,318
"ava";0,31
"ses";0,31
"roo";0,308
"oom";0,308
"ues";0,308
"pro";0,3
"tai";0,291
"ssi";0,282
"ine";0,272
"ter";0,272
"ass";0,271
"ail";0,271
"res";0,27
"nam";0,262
"sio";0,261
"ans";0,249
"sta";0,239
"his";0,236
"nte";0,235
"ont";0,234
"dat";0,233
"thi";0,23
"ren";0,228
"men";0,222
"rat";0,215
"ell";0,214
"par";0,214
"ote";0,213
"our";0,213
"cla";0,213
"tur";0,212
"tou";0,208
"anc";0,208
"pti";0,208
"ask";0,207
"las";0,204
"ure";0,203
"tel";0,2
"val";0,197
"is.";0,195
"eur";0,192
"une";0,191
"aie";0,19
"bas";0,188
"age";0,187
"ran";0,187
"ort";0,183
"cha";0,181
"xtr";0,181
"che";0,178
"sna";0,176
"hot";0,175
"cri";0,175
"ket";0,173
"rop";0,172
"rin";0,171
"ske";0,171
"ssn";0,17
"boo";0,168
"ais";0,167
"str";0,165
"tre";0,165
"rai";0,164
"get";0,163
"end";0,162
"eme";0,161
"ype";0,161
"ult";0,161
"mod";0,16
"pri";0,159
"cou";0,159
"tri";0,158
"scr";0,158
"com";0,158
"tat";0,158
"ser";0,157
"omm";0,157
"typ";0,156
"esc";0,156
"gue";0,155
"rea";0,155
"lab";0,154
"kin";0,152
"ice";0,15
"es,";0,15
"pan";0,149
"ook";0,148
"ode";0,148
"oki";0,146
"iti";0,146
"rip";0,145
"tex";0,144
"ill";0,144
"gin";0,143
"sit";0,143
"eng";0,142
"ipt";0,142
"on.";0,139
"me=";0,138
"eta";0,138
"qui";0,137
"ble";0,134
"éta";0,134
"ous";0,133
"ect";0,132
"ers";0,132
"equ";0,132
"ret";0,131
"nge";0,13
"lai";0,13
"mme";0,13
"out";0,129
"por";0,129
"pos";0,129
"lat";0,128
"der";0,127
"ele";0,127
"req";0,127
"per";0,127
"tit";0,126
"ity";0,125
"and";0,125
"dan";0,125
"mai";0,125
"sse";0,125
"qu'";0,125
"e="";0,123
"lue";0,123
"nce";0,122
"dis";0,121
"ire";0,121
"ngi";0,121
"sel";0,12
"son";0,12
"alu";0,12
"eux";0,12
