"es";1,925
"on";1,868
"re";1,547
"en";1,471
"te";1,429
"ai";1,367
"de";1,353
"le";1,321
"nt";1,297
"in";1,237
"it";1,225
"er";1,144
"se";1,059
"la";1,052
"an";1,031
"ti";1,028
"et";0,981
"at";0,911
"ou";0,883
"ra";0,874
"st";0,859
"il";0,852
"io";0,844
"me";0,84
"ro";0,838
"is";0,818
"co";0,804
"ta";0,797
"ne";0,773
"ur";0,762
"ar";0,748
"tr";0,74
"ri";0,732
"qu";0,679
"ns";0,673
"ss";0,67
"va";0,66
"el";0,654
"as";0,648
"ng";0,633
"ue";0,61
"si";0,61
"ie";0,599
"om";0,598
"pa";0,562
"ch";0,554
"or";0,53
"al";0,527
"s.";0,521
"ce";0,516
"to";0,499
"pr";0,496
"e,";0,489
"ma";0,48
"ge";0,477
"da";0,457
"na";0,455
"un";0,453
"li";0,452
"eu";0,452
"ll";0,44
"e.";0,427
"pe";0,422
"oo";0,421
"di";0,418
"ic";0,413
"po";0,394
"us";0,393
"ub";0,382
"em";0,375
"nd";0,373
"ex";0,369
"av";0,367
"am";0,365
"id";0,356
"th";0,354
"ui";0,35
"sa";0,348
"nc";0,347
"mo";0,347
"s,";0,344
"au";0,337
"he";0,335
"ea";0,329
"ut";0,314
"rt";0,313
"hu";0,308
"ir";0,295
"ec";0,29
"fi";0,287
"ho";0,286
"oi";0,285
"ul";0,282
"ty";0,281
"xt";0,273
"hi";0,271
"bo";0,27
"so";0,269
"lu";0,268
"ve";0,268
"ot";0,267
"su";0,263
"ca";0,262
"rs";0,261
"ts";0,261
"cl";0,252
"ad";0,251
"ct";0,25
"ba";0,249
"t,";0,248
"tu";0,247
"op";0,245
"be";0,242
"od";0,239
"ab";0,236
"fa";0,235
"ac";0,233
"pt";0,225
"bl";0,225
"cr";0,225
"cu";0,22
"mm";0,218
"sc";0,216
"pl";0,214
"ha";0,212
"ke";0,212
");";0,21
"ag";0,209
"lt";0,206
"ed";0,201
"rr";0,201
"lo";0,2
"mi";0,197
"ep";0,195
"tt";0,193
"up";0,193
"t.";0,191
"iv";0,19
"gu";0,19
"os";0,19
"mp";0,189
"()";0,189
"nf";0,185
"ni";0,181
"ét";0,181
"sk";0,18
"ls";0,178
"vi";0,178
"ig";0,176
"ry";0,173
"=>";0,171
"nu";0,165
"fo";0,16
"im";0,16
"um";0,159
"yp";0,158
"d'";0,158
"'a";0,158
"do";0,157
"sn";0,157
".c";0,156
"oc";0,156
"rc";0,152
"du";0,151
"l'";0,151
"e=";0,15
"nn";0,149
"vo";0,147
"ux";0,144
"cc";0,143
"ip";0,141
".p";0,141
"no";0,141
"pu";0,14
"ok";0,139
"gi";0,139
"ps";0,139
"n.";0,138
"rm";0,138
".s";0,137
"gr";0,137
"ei";0,136
"ki";0,135
"rn";0,134
"rd";0,134
"bi";0,133
"ay";0,129
"'e";0,128
"uc";0,127
".t";0,125
"={";0,124
"sp";0,123
"ev";0,123
"ap";0,121
"..";0,116
"n,";0,116
"__";0,116
"ua";0,116
"="";0,115
".g";0,114
"e)";0,113
"eq";0,113
"ré";0,113
"ld";0,112
"t(";0,111
"tc";0,11
"dr";0,109
"bs";0,109
"br";0,108
"u'";0,107
"e(";0,105
"fe";0,104
"ée";0,104
"ol";0,102
"fr";0,102
".r";0,101
"mb";0,101
"e:";0,1
"dé";0,099
"pi";0,098
".b";0,097
"èr";0,096
"bu";0,094
"s'";0,093
"lp";0,093
"ga";0,092
"cy";0,092
"--";0,089
"'é";0,089
"))";0,089
".h";0,089
"ci";0,088
"uv";0,088
"ef";0,088
"</";0,087
"if";0,086
"r,";0,086
"rv";0,084
"ds";0,082
"ff";0,081
".i";0,081
"oa";0,081
"'u";0,08
"s(";0,079
"d,";0,079
"'i";0,076
"r.";0,076
"";";0,076
"sl";0,074
"(t";0,073
"ms";0,073
"té";0,073
"je";0,07
"tp";0,069
"y.";0,069
".d";0,069
"êt";0,068
"l.";0,067
"ud";0,067
"m.";0,067
"éc";0,066
"pp";0,065
"{t";0,065
"nl";0,065
"és";0,065
"s)";0,064
"t-";0,063
"ew";0,063
"a.";0,063
"gn";0,062
"ck";0,062
"jo";0,061
"">";0,06
"nr";0,06
"y(";0,06
"ly";0,059
".a";0,059
